## This is an edited version of migrant_journey_updated..._b.csv
## Dep. joining or accompanying => Dep_J_A
## Zero expired rows were omited. I've put them back in. 
## Africa Sub-Saharan => Sub_Saharan_Africa
nationality,year_issued,visa_cat_broad,year,status_year_end,value
Sub_Saharan_Africa,2008,Dep_J_A,2014,Expired,1232
Sub_Saharan_Africa,2008,Dep_J_A,2014,Valid visa,4205
Sub_Saharan_Africa,2008,Dep_J_A,2015,Expired,1245
Sub_Saharan_Africa,2008,Dep_J_A,2015,Valid visa,4192
Sub_Saharan_Africa,2008,Dep_J_A,2016,Expired,1257
Sub_Saharan_Africa,2008,Dep_J_A,2016,Valid visa,4180
Sub_Saharan_Africa,2008,Dep_J_A,2017,Expired,1261
Sub_Saharan_Africa,2008,Dep_J_A,2017,Valid visa,4176
Sub_Saharan_Africa,2008,Dep_J_A,2018,Expired,1280
Sub_Saharan_Africa,2008,Dep_J_A,2018,Valid visa,4157
Sub_Saharan_Africa,2008,Dep_J_A,2019,Expired,1283
Sub_Saharan_Africa,2008,Dep_J_A,2019,Valid visa,4154
Sub_Saharan_Africa,2008,Dep_J_A,2020,Expired,1309
Sub_Saharan_Africa,2008,Dep_J_A,2020,Valid visa,4128
Sub_Saharan_Africa,2009,Dep_J_A,2009,Expired,5
Sub_Saharan_Africa,2009,Dep_J_A,2009,Valid visa,1807
Sub_Saharan_Africa,2009,Dep_J_A,2010,Expired,36
Sub_Saharan_Africa,2009,Dep_J_A,2010,Valid visa,1776
Sub_Saharan_Africa,2009,Dep_J_A,2011,Expired,143
Sub_Saharan_Africa,2009,Dep_J_A,2011,Valid visa,1669
Sub_Saharan_Africa,2009,Dep_J_A,2012,Expired,188
Sub_Saharan_Africa,2009,Dep_J_A,2012,Valid visa,1624
Sub_Saharan_Africa,2009,Dep_J_A,2013,Expired,226
Sub_Saharan_Africa,2009,Dep_J_A,2013,Valid visa,1586
Sub_Saharan_Africa,2009,Dep_J_A,2014,Expired,333
Sub_Saharan_Africa,2009,Dep_J_A,2014,Valid visa,1479
Sub_Saharan_Africa,2009,Dep_J_A,2015,Expired,337
Sub_Saharan_Africa,2009,Dep_J_A,2015,Valid visa,1475
Sub_Saharan_Africa,2009,Dep_J_A,2016,Expired,342
Sub_Saharan_Africa,2009,Dep_J_A,2016,Valid visa,1470
Sub_Saharan_Africa,2009,Dep_J_A,2017,Expired,347
Sub_Saharan_Africa,2009,Dep_J_A,2017,Valid visa,1465
Sub_Saharan_Africa,2009,Dep_J_A,2018,Expired,350
Sub_Saharan_Africa,2009,Dep_J_A,2018,Valid visa,1462
