# Data collected in function IntegratedPopEvolution2()
# In arrays DEBUGinflow and DEBUGoutflow
# 
Year	Ethnicity	Age	Inflow	Outflow
2	1	81	2	32
2	1	82	2	30
2	1	83	2	35
2	1	84	0	17
2	1	85	3	24
2	1	86	1	19
2	1	87	0	10
2	1	88	0	18
2	1	89	0	7
2	1	90	0	19
2	1	91	0	5
2	1	92	0	6
2	1	93	0	4
2	1	94	0	0
2	1	95	0	1
2	1	96	0	2
2	1	97	0	1
2	1	98	0	1
2	1	99	0	1
2	1	100	8	0
2	2	0	181	0
2	2	1	202	164
2	2	2	216	93
2	2	3	221	84
2	2	4	199	82
2	2	5	223	80
2	2	6	221	83
2	2	7	208	102
2	2	8	226	98
2	2	9	221	95
2	2	10	331	94
2	2	11	293	83
2	2	12	337	137
2	2	13	329	159
2	2	14	333	217
2	2	15	522	279
2	2	16	389	330
2	2	17	381	430
2	2	18	384	534
2	2	19	432	571
2	2	20	571	785
2	2	21	553	877
2	2	22	577	968
2	2	23	568	964
2	2	24	598	1072
2	2	25	616	1113
2	2	26	653	1105
2	2	27	678	1124
2	2	28	646	1106
2	2	29	664	1024
2	2	30	518	953
2	2	31	480	1014
2	2	32	463	954
2	2	33	491	823
2	2	34	492	791
2	2	35	338	753
2	2	36	337	673
2	2	37	321	661
2	2	38	324	599
2	2	39	321	510
2	2	40	189	472
2	2	41	232	388
2	2	42	170	375
2	2	43	199	362
2	2	44	202	319
2	2	45	158	271
2	2	46	152	267
2	2	47	145	252
2	2	48	142	208
2	2	49	139	179
2	2	50	115	179
2	2	51	92	162
2	2	52	93	150
2	2	53	102	158
2	2	54	75	143
2	2	55	75	89
2	2	56	71	106
2	2	57	68	92
2	2	58	76	95
2	2	59	76	83
2	2	60	41	76
2	2	61	49	76
2	2	62	32	82
2	2	63	33	79
2	2	64	47	49
2	2	65	41	65
2	2	66	44	60
2	2	67	37	45
2	2	68	29	55
2	2	69	41	44
2	2	70	15	71
2	2	71	16	51
2	2	72	20	49
2	2	73	20	59
2	2	74	11	47
2	2	75	12	56
2	2	76	8	34
2	2	77	10	45
2	2	78	8	56
2	2	79	7	43
2	2	80	6	36
2	2	81	10	33
2	2	82	6	35
2	2	83	6	36
2	2	84	4	22
2	2	85	3	20
2	2	86	1	22
2	2	87	2	16
2	2	88	0	22
2	2	89	0	12
2	2	90	1	49
2	2	91	0	7
2	2	92	0	3
2	2	93	0	9
2	2	94	0	4
2	2	95	0	2
2	2	96	0	6
2	2	97	0	2
2	2	98	0	0
2	2	99	0	2
2	2	100	81	4
2	3	0	36	0
2	3	1	42	205
2	3	2	53	134
2	3	3	44	108
2	3	4	54	91
2	3	5	52	61
2	3	6	50	113
2	3	7	46	118
2	3	8	32	101
2	3	9	47	83
2	3	10	109	91
2	3	11	98	101
2	3	12	108	184
2	3	13	115	285
2	3	14	116	409
2	3	15	363	481
2	3	16	330	530
2	3	17	313	943
2	3	18	384	1527
2	3	19	446	1936
2	3	20	483	2357
2	3	21	509	2637
2	3	22	524	2711
2	3	23	472	2584
2	3	24	481	2442
2	3	25	257	2366
2	3	26	314	2394
2	3	27	276	1933
