# Immigration data for 2011. 
Ethnicity	EthnicityIndex	Sex	ROB	Age	Value
Bangladesh	1	0	0	73	0.206135598
Bangladesh	1	0	0	74	0.185405335
Bangladesh	1	0	0	75	0.345564681
Bangladesh	1	0	0	76	0.373618849
Bangladesh	1	0	0	77	0.231353491
Bangladesh	1	0	0	78	0.353040104
Bangladesh	1	0	0	79	0.229141631
Bangladesh	1	0	0	80	0.132657863
Bangladesh	1	0	0	81	0.080718129
Bangladesh	1	0	0	82	0.048117165
Bangladesh	1	0	0	83	0.046787925
Bangladesh	1	0	0	84	0.086317004
Bangladesh	1	0	0	85	0.204180007
Bangladesh	1	0	0	86	0.373281271
Bangladesh	1	0	0	87	0.30060473
Bangladesh	1	0	0	88	0.36304627
Bangladesh	1	0	0	89	0.116553432
Bangladesh	1	0	0	90	0
Bangladesh	1	0	0	91	0
Bangladesh	1	0	0	92	0
Bangladesh	1	0	0	93	0
Bangladesh	1	0	0	94	0
Bangladesh	1	0	0	95	0
Bangladesh	1	0	0	96	0
Bangladesh	1	0	0	97	0
Bangladesh	1	0	0	98	0
Bangladesh	1	0	0	99	0
Bangladesh	1	0	0	100	0
Bangladesh	1	1	0	0	15.40398638
Bangladesh	1	1	0	1	20.62669468
Bangladesh	1	1	0	2	19.2031963
Bangladesh	1	1	0	3	19.47795211
Bangladesh	1	1	0	4	13.10379936
Bangladesh	1	1	0	5	6.976671614
Bangladesh	1	1	0	6	6.319873434
Bangladesh	1	1	0	7	7.463350269
Bangladesh	1	1	0	8	7.109704119
Bangladesh	1	1	0	9	10.88248255
Bangladesh	1	1	0	10	10.80292882
Bangladesh	1	1	0	11	11.03030671
Bangladesh	1	1	0	12	9.073842309
Bangladesh	1	1	0	13	10.0240693
Bangladesh	1	1	0	14	22.20907664
Bangladesh	1	1	0	15	28.29293365
Bangladesh	1	1	0	16	33.61075705
Bangladesh	1	1	0	17	54.57401628
Bangladesh	1	1	0	18	95.86217193
Bangladesh	1	1	0	19	105.3238575
Bangladesh	1	1	0	20	125.2611101
Bangladesh	1	1	0	21	153.3575495
Bangladesh	1	1	0	22	138.7096766
Bangladesh	1	1	0	23	134.2674972
Bangladesh	1	1	0	24	95.40730401
Bangladesh	1	1	0	25	84.64940014
Bangladesh	1	1	0	26	75.85887554
Bangladesh	1	1	0	27	71.68948608
