# Emigration rates for 2011. 
Ethnicity	EthnicityIndex	Sex	ROB	Age	Value
Bangladesh	1	0	1	28	0.003775409
Bangladesh	1	0	1	29	0.003795108
Bangladesh	1	0	1	30	0.003664843
Bangladesh	1	0	1	31	0.003131452
Bangladesh	1	0	1	32	0.003162383
Bangladesh	1	0	1	33	0.002839699
Bangladesh	1	0	1	34	0.002387223
Bangladesh	1	0	1	35	0.002881261
Bangladesh	1	0	1	36	0.00263932
Bangladesh	1	0	1	37	0.002206358
Bangladesh	1	0	1	38	0.002468959
Bangladesh	1	0	1	39	0.002247607
Bangladesh	1	0	1	40	0.001915468
Bangladesh	1	0	1	41	0.001936502
Bangladesh	1	0	1	42	0.002300783
Bangladesh	1	0	1	43	0.002404013
Bangladesh	1	0	1	44	0.002087986
Bangladesh	1	0	1	45	0.002402921
Bangladesh	1	0	1	46	0.002354366
Bangladesh	1	0	1	47	0.001782098
Bangladesh	1	0	1	48	0.001418159
Bangladesh	1	0	1	49	0.001819034
Bangladesh	1	0	1	50	0.002528001
Bangladesh	1	0	1	51	0.00239826
Bangladesh	1	0	1	52	0.002777445
Bangladesh	1	0	1	53	0.002890533
Bangladesh	1	0	1	54	0.00174778
Bangladesh	1	0	1	55	0.001882939
Bangladesh	1	0	1	56	0.00175633
Bangladesh	1	0	1	57	0.001470474
Bangladesh	1	0	1	58	0.002398127
Bangladesh	1	0	1	59	0.004601604
Bangladesh	1	0	1	60	0.007358867
Bangladesh	1	0	1	61	0.008492248
Bangladesh	1	0	1	62	0.012656819
Bangladesh	1	0	1	63	0.005362867
Bangladesh	1	0	1	64	0.010045776
Bangladesh	1	0	1	65	0.009166816
Bangladesh	1	0	1	66	0.003037796
Bangladesh	1	0	1	67	0.003323157
Bangladesh	1	0	1	68	0.003351324
Bangladesh	1	0	1	69	0.004258779
Bangladesh	1	0	1	70	0.00092946
Bangladesh	1	0	1	71	0.001149116
Bangladesh	1	0	1	72	0.000870554
Bangladesh	1	0	1	73	0.000878833
Bangladesh	1	0	1	74	0.000770732
Bangladesh	1	0	1	75	0.00357042
Bangladesh	1	0	1	76	0.004032764
Bangladesh	1	0	1	77	0.006207792
Bangladesh	1	0	1	78	0.004518352
Bangladesh	1	0	1	79	0.005512243
Bangladesh	1	0	1	80	0.004688379
Bangladesh	1	0	1	81	0.004988126
Bangladesh	1	0	1	82	0.009472675
Bangladesh	1	0	1	83	0.009560008
Bangladesh	1	0	1	84	0.010822952
Bangladesh	1	0	1	85	0.025349011
Bangladesh	1	0	1	86	0.024586904
Bangladesh	1	0	1	87	0.034321934
Bangladesh	1	0	1	88	0.038520393
Bangladesh	1	0	1	89	0.350481444
Bangladesh	1	0	1	90	0
Bangladesh	1	0	1	91	0
Bangladesh	1	0	1	92	0
Bangladesh	1	0	1	93	0
Bangladesh	1	0	1	94	0
Bangladesh	1	0	1	95	0
Bangladesh	1	0	1	96	0
Bangladesh	1	0	1	97	0
Bangladesh	1	0	1	98	0
Bangladesh	1	0	1	99	0
Bangladesh	1	0	1	100	0
Bangladesh	1	1	1	0	0.00721369
Bangladesh	1	1	1	1	0.004307981
Bangladesh	1	1	1	2	0.002844054
Bangladesh	1	1	1	3	0.00165404
Bangladesh	1	1	1	4	0.001190802
Bangladesh	1	1	1	5	0.001795217
Bangladesh	1	1	1	6	0.001714269
Bangladesh	1	1	1	7	0.001445105
Bangladesh	1	1	1	8	0.001167963
Bangladesh	1	1	1	9	0.000593307
Bangladesh	1	1	1	10	0.000421149
Bangladesh	1	1	1	11	0.000329063
Bangladesh	1	1	1	12	0.000317689
Bangladesh	1	1	1	13	0.000266366
Bangladesh	1	1	1	14	0.000404457
Bangladesh	1	1	1	15	0.000408986
Bangladesh	1	1	1	16	0.000505466
Bangladesh	1	1	1	17	0.001107355
Bangladesh	1	1	1	18	0.002122814
Bangladesh	1	1	1	19	0.005576061
Bangladesh	1	1	1	20	0.006764769
Bangladesh	1	1	1	21	0.006042849
Bangladesh	1	1	1	22	0.003630293
Bangladesh	1	1	1	23	0.002847616
Bangladesh	1	1	1	24	0.003897789
Bangladesh	1	1	1	25	0.004510817
Bangladesh	1	1	1	26	0.003687043
Bangladesh	1	1	1	27	0.002722203
Bangladesh	1	1	1	28	0.002179031
Bangladesh	1	1	1	29	0.001848067
Bangladesh	1	1	1	30	0.001864036
Bangladesh	1	1	1	31	0.001602975
Bangladesh	1	1	1	32	0.001676672
Bangladesh	1	1	1	33	0.001492135
Bangladesh	1	1	1	34	0.001855855
Bangladesh	1	1	1	35	0.002339739
Bangladesh	1	1	1	36	0.002135025
Bangladesh	1	1	1	37	0.002166338
Bangladesh	1	1	1	38	0.002587714
Bangladesh	1	1	1	39	0.001386361
Bangladesh	1	1	1	40	0.001496346
Bangladesh	1	1	1	41	0.001752038
Bangladesh	1	1	1	42	0.001701978
Bangladesh	1	1	1	43	0.001921143
Bangladesh	1	1	1	44	0.001693361
Bangladesh	1	1	1	45	0.001647994
Bangladesh	1	1	1	46	0.001495671
Bangladesh	1	1	1	47	0.001612029
Bangladesh	1	1	1	48	0.001629032
Bangladesh	1	1	1	49	0.001594838
Bangladesh	1	1	1	50	0.002384398
Bangladesh	1	1	1	51	0.002333346
Bangladesh	1	1	1	52	0.002438508
Bangladesh	1	1	1	53	0.002035922
Bangladesh	1	1	1	54	0.001334749
Bangladesh	1	1	1	55	0.001593148
Bangladesh	1	1	1	56	0.001248121
Bangladesh	1	1	1	57	0.000907279
Bangladesh	1	1	1	58	0.001256135
Bangladesh	1	1	1	59	0.000929092
Bangladesh	1	1	1	60	0.001192961
Bangladesh	1	1	1	61	0.001490743
